year,SchoolType,avg.sat
2004,private,1211.835683027211
2004,public,1166.949193937008
2005,private,1216.4331443537415
2005,public,1170.754122519685
2006,private,1212.4158533333334
2006,public,1164.892179448819
2007,private,1214.6621011564625
2007,public,1165.0878970866142
2008,private,1215.0372548979592
2008,public,1171.6271312598426
2009,private,1217.3241799319728
2009,public,1174.6306419685038
2010,private,1217.970451632653
2010,public,1179.372817480315
2011,private,1219.4921885034014
2011,public,1178.9534593700787
2012,private,1220.1538134693878
2012,public,1184.3282967716536
